year,period,value,month
2024,A01,78535,1
2023,A01,77280,1
2022,A01,72973,1
2021,A01,66928,1
2020,A01,61332,1
2019,A01,63036,1
2018,A01,61224,1
2017,A01,60060,1
2016,A01,57311,1
